Track Name,,Line name,1150114XYLDN,Report Name,Wear_right,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
224,101.744000,inf,inf,inf,inf,
225,101.743750,17.9,25.6,30.0,23.2,
226,101.743500,inf,inf,inf,inf,
227,101.743250,inf,inf,inf,inf,
228,101.743000,16.8,25.5,30.0,22.3,
229,101.742750,inf,inf,inf,inf,
230,101.742500,inf,inf,inf,inf,
231,101.742250,16.5,25.4,30.0,21.9,
232,101.742000,inf,inf,inf,inf,
233,101.741750,inf,inf,inf,inf,
234,101.741500,16.9,25.5,30.0,22.3,
235,101.741250,inf,inf,inf,inf,
236,101.741000,inf,inf,inf,inf,
237,101.740750,17.9,25.6,30.0,23.2,
238,101.740500,inf,inf,inf,inf,
239,101.740250,inf,inf,inf,inf,
240,101.740000,17.2,25.5,30.0,22.7,
241,101.739750,inf,inf,inf,inf,
242,101.739500,inf,inf,inf,inf,
243,101.739250,16.9,25.5,30.0,22.4,
244,101.739000,inf,inf,inf,inf,
245,101.738750,inf,inf,inf,inf,
246,101.738500,16.3,25.4,30.0,21.8,
247,101.738250,inf,inf,inf,inf,
248,101.738000,inf,inf,inf,inf,
249,101.737750,15.2,25.3,30.0,20.7,
250,101.737500,inf,inf,inf,inf,
251,101.737250,inf,inf,inf,inf,
252,101.737000,12.4,25.0,28.9,18.3,
253,101.736750,inf,inf,inf,inf,
254,101.736500,inf,inf,inf,inf,
255,101.736250,11.4,24.9,28.2,17.3,
256,101.736000,inf,inf,inf,inf,
257,101.735750,inf,inf,inf,inf,
258,101.735500,11.7,25.0,28.5,17.7,
259,101.735250,inf,inf,inf,inf,
260,101.735000,inf,inf,inf,inf,
261,101.734750,12.7,25.1,29.2,18.7,
262,101.734500,inf,inf,inf,inf,
263,101.734250,inf,inf,inf,inf,
264,101.734000,14.1,25.2,30.0,19.9,
265,101.733750,inf,inf,inf,inf,
266,101.733500,inf,inf,inf,inf,
267,101.733250,15.2,25.3,30.0,20.8,
268,101.733000,inf,inf,inf,inf,
269,101.732750,inf,inf,inf,inf,
270,101.732500,15.5,25.3,30.0,21.0,
271,101.732250,inf,inf,inf,inf,
272,101.732000,inf,inf,inf,inf,
273,101.731750,15.1,25.3,30.0,20.7,
274,101.731500,inf,inf,inf,inf,
275,101.731250,inf,inf,inf,inf,
276,101.731000,16.2,25.4,30.0,21.7,
277,101.730750,inf,inf,inf,inf,
278,101.730500,inf,inf,inf,inf,
279,101.730250,16.2,25.4,30.0,21.7,
280,101.730000,inf,inf,inf,inf,
281,101.729750,inf,inf,inf,inf,
282,101.729500,16.1,25.4,30.0,21.7,
283,101.729250,inf,inf,inf,inf,
284,101.729000,inf,inf,inf,inf,
285,101.728750,16.5,25.4,30.0,22.0,
286,101.728500,inf,inf,inf,inf,
287,101.728250,inf,inf,inf,inf,
288,101.728000,inf,inf,inf,inf,
289,101.727750,inf,inf,inf,inf,
290,101.727500,17.2,25.5,30.0,22.7,
291,101.727250,inf,inf,inf,inf,
292,101.727000,inf,inf,inf,inf,
293,101.726750,17.9,25.6,30.0,23.2,
294,101.726500,inf,inf,inf,inf,
295,101.726250,inf,inf,inf,inf,
296,101.726000,16.9,25.5,30.0,22.3,
297,101.725750,inf,inf,inf,inf,
298,101.725500,inf,inf,inf,inf,
299,101.725250,16.5,25.4,30.0,22.0,
300,101.725000,inf,inf,inf,inf,
301,101.724750,inf,inf,inf,inf,
302,101.724500,16.2,25.4,30.0,21.7,
303,101.724250,inf,inf,inf,inf,
304,101.724000,inf,inf,inf,inf,
305,101.723750,15.8,25.4,30.0,21.4,
306,101.723500,inf,inf,inf,inf,
307,101.723250,inf,inf,inf,inf,
308,101.723000,inf,inf,inf,inf,
309,101.722750,inf,inf,inf,inf,
310,101.722500,inf,inf,inf,inf,
311,101.722250,15.2,25.3,30.0,20.8,
312,101.722000,inf,inf,inf,inf,
313,101.721750,inf,inf,inf,inf,
314,101.721500,15.5,25.3,30.0,21.1,
315,101.721250,inf,inf,inf,inf,
316,101.721000,inf,inf,inf,inf,
317,101.720750,16.6,25.5,30.0,22.1,
318,101.720500,inf,inf,inf,inf,
319,101.720250,inf,inf,inf,inf,
320,101.720000,16.5,25.5,30.0,22.1,
321,101.719750,inf,inf,inf,inf,
322,101.719500,inf,inf,inf,inf,
323,101.719250,17.2,25.5,30.0,22.6,
324,101.719000,inf,inf,inf,inf,
325,101.718750,inf,inf,inf,inf,
