Track Name,,Line name,1150114XYLDN1,Report Name,Wear_right,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
193,100.922750,0.0,0.3,1.2,0.6,
194,100.922500,0.1,0.4,1.3,0.7,
195,100.922250,0.8,0.4,1.4,0.8,
196,100.922000,0.9,0.3,1.3,0.7,
197,100.921750,0.3,0.7,1.6,0.9,
198,100.921500,0.6,0.7,1.6,1.0,
199,100.921250,1.1,0.8,1.8,1.1,
200,100.921000,1.1,0.4,1.4,0.8,
201,100.920750,0.5,0.4,1.3,0.7,
202,100.920500,0.0,0.3,1.2,0.7,
203,100.920250,0.0,0.6,1.5,0.7,
204,100.920000,0.8,0.9,1.7,1.2,
205,100.919750,0.2,0.9,1.6,1.1,
206,100.919500,0.1,0.7,1.4,0.8,
207,100.919250,0.0,0.9,1.6,1.0,
208,100.919000,0.7,0.8,1.5,1.0,
209,100.918750,0.5,0.9,1.6,1.0,
210,100.918500,0.1,1.0,1.7,1.0,
211,100.918250,1.1,1.0,1.8,1.2,
212,100.918000,1.2,0.7,1.7,1.0,
213,100.917750,1.4,0.7,1.7,1.0,
214,100.917500,1.1,0.7,1.6,1.0,
215,100.917250,0.8,1.1,1.9,1.2,
216,100.917000,0.5,1.1,1.8,1.2,
217,100.916750,0.0,1.0,1.6,1.1,
218,100.916500,0.6,0.8,1.6,1.0,
219,100.916250,0.1,1.1,1.7,1.1,
220,100.916000,0.4,0.8,1.5,1.0,
221,100.915750,0.0,0.8,1.4,1.0,
222,100.915500,0.0,0.8,1.4,0.9,
223,100.915250,0.9,0.5,1.3,0.8,
224,100.915000,0.1,0.8,1.3,0.9,
225,100.914750,1.2,0.8,1.6,1.1,
226,100.914500,0.0,0.9,1.4,1.0,
227,100.914250,1.1,0.7,1.4,1.0,
228,100.914000,0.5,0.6,1.3,0.9,
229,100.913750,0.0,0.8,1.5,1.0,
230,100.913500,0.9,0.4,1.3,0.8,
231,100.913250,1.2,0.4,1.3,0.8,
232,100.913000,0.4,0.7,1.5,0.9,
233,100.912750,0.7,0.8,1.5,1.0,
234,100.912500,0.0,0.6,1.3,0.8,
235,100.912250,0.7,0.8,1.5,1.0,
236,100.912000,0.0,0.7,1.4,0.9,
237,100.911750,0.0,0.8,1.5,0.9,
238,100.911500,0.0,0.8,1.4,0.9,
239,100.911250,0.8,0.6,1.5,0.9,
240,100.911000,0.7,0.7,1.7,1.0,
241,100.910750,1.2,0.6,1.7,1.0,
242,100.910500,1.4,0.9,1.8,0.9,
243,100.910250,0.1,1.2,1.8,1.3,
244,100.910000,1.3,1.2,1.9,1.5,
245,100.909750,0.3,0.6,1.2,1.0,
246,100.909500,0.8,0.6,1.2,1.1,
247,100.909250,0.4,0.6,1.2,1.1,
248,100.909000,0.0,0.7,1.2,1.1,
249,100.908750,0.0,0.6,1.2,1.0,
250,100.908500,0.7,0.6,1.3,1.1,
251,100.908250,0.5,0.7,1.4,1.1,
252,100.908000,0.2,0.8,1.4,1.1,
253,100.907750,0.3,0.9,1.6,1.2,
254,100.907500,1.1,0.7,1.5,1.2,
255,100.907250,1.2,0.8,1.6,1.2,
256,100.907000,1.2,0.8,1.6,1.2,
257,100.906750,0.9,1.0,1.8,1.3,
258,100.906500,0.3,0.9,1.6,1.2,
259,100.906250,0.8,0.7,1.5,1.1,
260,100.906000,1.3,0.8,1.6,1.2,
261,100.905750,0.8,0.9,1.7,1.3,
262,100.905500,0.3,0.9,1.5,1.2,
263,100.905250,0.0,0.9,1.5,1.2,
264,100.905000,0.6,0.8,1.5,1.2,
265,100.904750,0.4,0.8,1.4,1.2,
266,100.904500,0.8,0.8,1.5,1.3,
267,100.904250,0.0,0.7,1.3,1.2,
268,100.904000,0.1,0.5,1.1,1.0,
269,100.903750,0.0,0.5,1.1,1.0,
270,100.903500,0.0,0.6,1.2,1.0,
271,100.903250,0.9,0.4,1.0,0.9,
272,100.903000,1.2,0.6,1.3,1.1,
273,100.902750,0.0,0.5,1.3,1.0,
274,100.902500,0.4,0.3,1.1,0.8,
275,100.902250,0.7,0.6,1.5,1.1,
276,100.902000,0.2,0.7,1.6,1.1,
277,100.901750,0.9,0.2,1.2,0.7,
278,100.901500,0.1,0.8,1.6,1.1,
279,100.901250,1.1,0.7,1.6,1.2,
280,100.901000,0.1,0.5,1.3,0.9,
281,100.900750,1.0,0.5,1.4,1.0,
282,100.900500,0.9,0.5,1.5,1.0,
283,100.900250,0.9,0.4,1.3,0.9,
284,100.900000,0.5,0.7,1.5,1.1,
285,100.899750,0.0,0.8,1.5,1.1,
286,100.899500,0.8,0.3,1.2,0.8,
287,100.899250,1.2,0.6,1.5,1.1,
288,100.899000,1.3,0.6,1.6,1.1,
289,100.898750,1.1,0.5,1.4,0.9,
290,100.898500,0.8,0.4,1.3,0.9,
291,100.898250,1.0,0.7,1.6,1.1,
292,100.898000,0.7,0.7,1.5,1.1,
293,100.897750,0.4,0.7,1.5,1.1,
294,100.897500,1.0,1.0,1.8,1.3,
295,100.897250,0.3,0.7,1.4,1.1,
296,100.897000,1.3,0.7,1.6,1.2,
