Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_right,Operator,
Starting Km,100.290,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 02:17:46

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
275,100.221250,2.8,0.1,2.9,0.6,
276,100.221000,2.7,0.1,2.7,0.7,
277,100.220750,2.6,0.0,2.6,0.6,
278,100.220500,2.7,0.4,2.6,1.1,
279,100.220250,3.2,0.7,3.0,1.2,
280,100.220000,2.4,0.3,2.1,0.7,
281,100.219750,2.2,0.4,2.1,0.9,
282,100.219500,2.2,0.2,2.2,0.6,
283,100.219250,2.2,0.1,2.4,0.7,
284,100.219000,2.5,0.4,2.8,1.0,
285,100.218750,2.3,0.0,2.7,0.6,
286,100.218500,2.4,0.0,2.8,0.6,
287,100.218250,2.4,0.0,3.0,0.8,
288,100.218000,2.3,0.0,2.9,0.6,
289,100.217750,2.3,0.0,3.0,0.6,
290,100.217500,2.3,0.0,3.1,0.7,
291,100.217250,2.3,0.0,3.1,0.6,
292,100.217000,2.3,0.0,3.0,0.6,
293,100.216750,2.2,0.0,2.9,0.5,
294,100.216500,2.1,0.0,2.7,0.4,
295,100.216250,2.1,0.0,2.7,0.5,
296,100.216000,2.1,0.1,2.7,0.7,
297,100.215750,2.1,0.0,2.3,0.4,
298,100.215500,2.0,0.0,2.3,0.4,
299,100.215250,2.0,0.0,2.3,0.5,
300,100.215000,2.0,0.0,2.1,0.4,
301,100.214750,2.0,0.0,2.0,0.4,
302,100.214500,1.9,0.0,1.9,0.3,
303,100.214250,1.8,0.0,1.6,-0.0,
304,100.214000,1.8,0.0,1.7,0.1,
305,100.213750,1.9,0.0,1.9,0.4,
306,100.213500,2.0,0.0,2.0,0.5,
307,100.213250,2.0,0.0,2.1,0.6,
308,100.213000,2.1,0.1,2.3,0.8,
309,100.212750,2.1,0.0,2.3,0.6,
310,100.212500,2.2,0.0,2.4,0.6,
311,100.212250,2.2,0.1,2.6,0.8,
312,100.212000,2.2,0.0,2.7,0.6,
313,100.211750,2.3,0.0,2.8,0.6,
