Track Name,,Line name,1141219NKLUP,Report Name,Wear_right,Operator,
Starting Km,100.300,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 01:31:53

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
205,100.351250,7.9,1.0,7.2,1.0,
206,100.351500,6.7,0.5,6.9,0.6,
207,100.351750,7.6,0.4,6.8,0.6,
208,100.352000,7.0,0.3,6.7,0.4,
209,100.352250,7.3,0.4,6.7,0.4,
210,100.352500,6.5,0.4,6.7,0.2,
211,100.352750,6.7,1.0,6.9,0.9,
212,100.353000,7.0,0.6,6.7,0.6,
213,100.353250,6.8,0.3,6.4,0.5,
214,100.353500,7.0,0.7,6.7,0.8,
215,100.353750,6.8,0.3,6.5,0.4,
216,100.354000,6.9,0.5,6.6,0.5,
217,100.354250,6.9,0.8,6.7,0.8,
218,100.354500,7.7,0.8,7.0,0.9,
219,100.354750,0.0,0.0,0.5,2.8,
220,100.355000,0.0,0.0,0.5,5.7,
221,100.355250,0.0,0.0,0.4,5.7,
222,100.355500,0.0,0.0,0.4,6.0,
223,100.355750,6.9,0.0,6.1,-0.1,
224,100.356000,7.6,0.6,7.2,0.7,
225,100.356250,7.6,0.0,6.9,0.4,
226,100.356500,7.2,0.0,7.2,-0.1,
227,100.356750,9.8,5.9,11.2,5.7,
228,100.357000,0.0,0.0,0.3,1.1,
229,100.357250,0.0,0.0,0.6,1.8,
230,100.357500,5.2,0.0,4.4,-0.9,
231,100.357750,5.6,0.6,6.1,0.8,
232,100.358000,5.4,0.9,5.9,1.0,
233,100.358250,5.4,0.6,5.9,0.8,
234,100.358500,5.5,0.7,5.6,0.9,
235,100.358750,5.4,0.8,5.6,1.1,
236,100.359000,6.2,0.6,5.6,1.0,
237,100.359250,5.7,0.9,5.7,1.1,
238,100.359500,6.0,1.4,6.1,1.5,
239,100.359750,5.3,1.1,6.0,1.1,
240,100.360000,5.5,0.9,5.9,1.0,
241,100.360250,6.4,2.3,6.8,2.3,
242,100.360500,6.4,1.3,6.3,1.3,
243,100.360750,6.1,0.9,6.1,1.0,
244,100.361000,6.2,1.1,6.2,1.2,
245,100.361250,6.7,1.0,6.6,1.0,
246,100.361500,7.1,0.3,6.6,0.7,
247,100.361750,6.5,0.0,6.5,-3.8,
248,100.362000,6.6,0.0,6.3,0.6,
249,100.362250,6.8,0.5,7.0,0.8,
250,100.362500,7.5,1.3,7.7,1.5,
251,100.362750,7.4,0.5,7.6,0.8,
252,100.363000,7.4,0.5,7.6,0.8,
253,100.363250,7.5,0.7,7.8,1.0,
254,100.363500,7.8,0.6,8.0,0.8,
255,100.363750,8.6,0.4,8.3,0.7,
256,100.364000,8.8,1.5,9.1,1.5,
257,100.364250,7.9,1.2,8.4,1.4,
258,100.364500,7.5,0.9,8.1,0.9,
259,100.364750,8.2,1.3,8.4,1.3,
260,100.365000,7.5,0.6,8.1,0.7,
261,100.365250,7.5,0.8,8.0,0.7,
262,100.365500,8.3,1.3,8.2,1.3,
263,100.365750,7.5,0.8,7.8,0.7,
264,100.366000,8.4,0.6,7.8,0.8,
265,100.366250,7.5,0.9,7.8,1.1,
266,100.366500,7.5,0.6,7.9,0.8,
267,100.366750,7.6,0.5,7.7,0.7,
268,100.367000,8.0,1.3,8.1,1.5,
269,100.367250,8.2,0.2,7.8,0.5,
270,100.367500,8.0,0.3,7.7,0.7,
271,100.367750,7.6,1.0,8.0,1.2,
272,100.368000,7.8,0.3,7.7,0.7,
273,100.368250,8.3,0.7,7.9,1.0,
274,100.368500,7.9,0.9,7.8,1.1,
275,100.368750,7.5,0.7,7.9,0.9,
276,100.369000,8.1,0.5,7.7,0.8,
277,100.369250,8.2,0.9,7.7,1.1,
278,100.369500,6.9,0.8,7.3,0.8,
279,100.369750,6.7,0.5,7.1,0.6,
280,100.370000,6.9,1.0,7.4,1.2,
281,100.370250,8.0,0.5,7.4,0.8,
282,100.370500,6.8,0.6,7.3,0.8,
283,100.370750,7.0,1.1,7.4,1.2,
284,100.371000,7.0,0.5,7.1,0.7,
285,100.371250,7.1,0.4,7.1,0.6,
286,100.371500,7.2,0.9,7.2,1.0,
287,100.371750,6.9,0.4,7.2,0.7,
288,100.372000,6.7,0.7,7.1,0.8,
289,100.372250,7.2,1.1,7.2,1.2,
290,100.372500,7.1,0.5,7.0,0.7,
291,100.372750,7.5,0.5,7.0,0.7,
292,100.373000,7.4,0.7,7.1,0.9,
293,100.373250,7.4,0.8,7.1,1.0,
294,100.373500,6.9,0.7,6.9,0.8,
295,100.373750,6.3,0.5,6.7,0.5,
296,100.374000,6.9,0.4,6.6,0.6,
297,100.374250,6.9,0.6,6.7,0.7,
298,100.374500,6.4,0.1,6.5,0.3,
299,100.374750,6.1,0.5,6.5,0.6,
300,100.375000,6.1,0.4,6.4,0.5,
301,100.375250,7.0,0.0,6.4,0.2,
302,100.375500,7.0,0.3,6.7,0.6,
303,100.375750,7.1,0.4,6.6,0.7,
304,100.376000,6.6,0.9,6.8,1.1,
305,100.376250,6.2,0.4,6.6,0.6,
306,100.376500,6.4,0.4,6.8,0.5,
307,100.376750,7.1,0.2,6.8,0.4,
308,100.377000,6.7,0.5,7.0,0.6,
309,100.377250,7.5,0.4,6.9,0.6,
310,100.377500,7.4,0.0,6.7,0.2,
311,100.377750,7.5,0.2,7.1,0.5,
312,100.378000,7.7,0.0,7.0,0.8,
313,100.378250,8.2,0.2,7.4,0.5,
314,100.378500,7.8,0.6,7.6,0.8,
315,100.378750,7.1,0.5,7.3,0.8,
316,100.379000,7.4,0.5,7.1,0.8,
317,100.379250,7.3,0.5,7.1,0.9,
318,100.379500,7.7,0.5,7.0,0.8,
319,100.379750,7.6,0.2,6.8,0.7,
320,100.380000,7.2,0.4,7.0,0.8,
321,100.380250,7.9,0.5,7.1,0.9,
322,100.380500,7.0,0.3,7.0,0.7,
