Track Name,,Line name,1141219NKLDN1,Report Name,Wear_right,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
312,104.982000,7.6,0.6,7.1,0.8,
313,104.981750,7.7,0.9,7.2,1.0,
314,104.981500,6.4,0.6,6.8,0.6,
315,104.981250,7.4,0.8,7.1,0.9,
316,104.981000,7.2,0.8,7.0,0.9,
317,104.980750,6.8,0.9,7.0,0.8,
318,104.980500,6.9,0.7,7.0,0.8,
319,104.980250,6.8,0.8,7.0,0.9,
320,104.980000,6.2,0.9,6.9,0.8,
321,104.979750,6.5,1.1,7.1,1.0,
322,104.979500,7.4,1.0,7.0,1.1,
323,104.979250,7.4,0.8,6.8,0.9,
324,104.979000,6.5,1.1,7.0,1.0,
325,104.978750,7.2,1.1,6.9,1.0,
326,104.978500,6.6,0.9,6.8,0.9,
327,104.978250,6.2,1.0,6.8,0.8,
328,104.978000,6.3,1.3,7.1,1.2,
329,104.977750,7.2,0.8,6.9,0.8,
330,104.977500,7.7,0.8,7.1,0.9,
331,104.977250,7.5,1.2,7.3,1.1,
332,104.977000,6.9,0.8,6.9,0.8,
333,104.976750,7.0,1.0,7.2,0.9,
334,104.976500,7.2,1.3,7.4,1.2,
335,104.976250,7.7,1.0,7.1,0.9,
336,104.976000,7.6,0.8,7.1,0.9,
337,104.975750,7.4,1.2,7.2,1.1,
338,104.975500,7.6,1.0,7.2,1.1,
339,104.975250,7.5,0.8,7.2,0.8,
340,104.975000,7.8,1.5,7.6,1.5,
341,104.974750,7.7,0.8,7.3,0.9,
342,104.974500,7.9,0.9,7.3,0.9,
343,104.974250,7.6,1.4,7.6,1.4,
344,104.974000,7.7,0.9,7.4,0.9,
345,104.973750,7.1,0.9,7.3,0.8,
346,104.973500,7.1,1.8,7.9,1.6,
347,104.973250,6.9,1.1,7.5,1.0,
348,104.973000,7.9,1.0,7.7,1.0,
349,104.972750,7.3,1.5,8.0,1.3,
350,104.972500,8.1,0.9,8.0,1.2,
351,104.972250,7.5,0.9,7.8,0.9,
352,104.972000,7.4,1.2,7.9,1.3,
353,104.971750,7.6,0.9,7.6,1.0,
354,104.971500,7.7,0.8,7.5,0.9,
355,104.971250,6.9,1.2,7.5,1.2,
356,104.971000,6.6,0.8,7.1,0.9,
357,104.970750,7.0,0.4,6.9,0.6,
358,104.970500,7.1,1.0,7.0,1.1,
359,104.970250,6.6,0.8,6.9,0.9,
360,104.970000,6.6,0.9,6.9,0.9,
361,104.969750,6.4,1.1,6.9,1.1,
362,104.969500,6.4,0.8,6.7,0.8,
363,104.969250,6.0,0.9,6.6,0.8,
364,104.969000,6.3,1.3,6.8,1.3,
365,104.968750,6.9,0.8,6.7,0.9,
366,104.968500,6.9,0.7,6.6,0.8,
367,104.968250,6.1,1.1,6.7,1.0,
368,104.968000,6.9,0.9,6.8,1.0,
369,104.967750,7.3,0.8,6.9,0.9,
370,104.967500,7.1,1.1,7.0,1.1,
371,104.967250,6.6,0.9,7.0,0.8,
372,104.967000,7.7,0.7,7.2,0.9,
373,104.966750,6.8,1.4,7.5,1.3,
374,104.966500,6.7,0.9,7.1,0.8,
375,104.966250,7.2,0.9,7.3,0.9,
376,104.966000,7.6,1.5,7.6,1.4,
