Track Name,,Line name,1141219NKLDN,Report Name,Wear_left,Operator,
Starting Km,112.000,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:01:42

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
171,111.957250,2.6,0.0,1.2,-0.3,
172,111.957000,2.4,0.0,1.2,0.0,
173,111.956750,2.3,0.0,1.1,-0.2,
174,111.956500,2.2,0.0,0.9,-0.4,
175,111.956250,2.2,0.0,0.9,-0.3,
176,111.956000,2.5,0.0,1.2,-0.3,
177,111.955750,2.5,0.0,1.3,-0.2,
178,111.955500,2.3,0.0,0.9,0.0,
179,111.955250,2.5,0.0,1.0,-0.2,
180,111.955000,2.5,0.0,1.1,-0.3,
181,111.954750,2.5,0.0,1.1,-0.0,
182,111.954500,2.5,0.0,1.1,-0.1,
183,111.954250,2.3,0.0,0.9,-0.1,
184,111.954000,2.4,0.0,0.9,-0.0,
185,111.953750,2.6,0.0,1.2,0.0,
186,111.953500,2.2,0.0,0.6,-0.2,
187,111.953250,2.5,0.0,1.0,0.4,
188,111.953000,2.6,0.0,1.1,-0.2,
189,111.952750,2.5,0.0,1.0,0.1,
190,111.952500,2.4,0.0,0.9,0.5,
191,111.952250,2.3,0.0,0.9,-0.1,
192,111.952000,2.6,0.0,1.0,-0.1,
193,111.951750,2.7,0.0,1.3,0.5,
194,111.951500,2.5,0.0,1.1,-0.0,
195,111.951250,2.3,0.0,0.8,-0.3,
196,111.951000,2.5,0.0,1.1,0.0,
197,111.950750,2.5,0.0,1.2,-0.1,
198,111.950500,2.5,0.0,1.2,-0.2,
199,111.950250,2.3,0.0,1.0,-0.1,
200,111.950000,2.7,0.0,1.4,-0.1,
201,111.949750,2.7,0.0,1.5,-0.2,
202,111.949500,2.7,0.0,1.3,-0.2,
203,111.949250,2.9,0.0,1.5,-0.3,
204,111.949000,2.9,0.0,1.7,-0.3,
205,111.948750,2.9,0.0,1.6,-0.3,
206,111.948500,3.1,0.0,1.7,-0.1,
207,111.948250,3.0,0.0,1.7,-0.2,
208,111.948000,2.9,0.0,1.7,-0.2,
209,111.947750,3.0,0.0,1.7,-0.2,
210,111.947500,3.1,0.0,1.8,0.0,
211,111.947250,2.8,0.0,1.5,-0.2,
212,111.947000,2.8,0.0,1.4,-0.1,
213,111.946750,2.8,0.0,1.4,-0.2,
214,111.946500,2.7,0.0,1.3,-0.2,
215,111.946250,2.8,0.0,1.3,-0.3,
216,111.946000,2.7,0.0,1.2,-0.3,
217,111.945750,2.6,0.0,1.2,-0.1,
218,111.945500,2.6,0.0,1.2,-0.2,
219,111.945250,2.8,0.0,1.5,-0.2,
220,111.945000,2.7,0.0,1.3,-0.3,
221,111.944750,2.8,0.0,1.3,-0.2,
222,111.944500,2.8,0.0,1.4,-0.1,
223,111.944250,2.8,0.0,1.5,0.1,
224,111.944000,2.8,0.0,1.4,-0.1,
225,111.943750,2.8,0.0,1.5,-0.1,
226,111.943500,2.8,0.0,1.5,-0.1,
227,111.943250,2.7,0.0,1.4,-0.2,
228,111.943000,2.8,0.0,1.5,-0.2,
229,111.942750,2.9,0.0,1.6,-0.2,
230,111.942500,2.9,0.0,1.7,-0.4,
231,111.942250,3.0,0.0,1.7,-0.1,
232,111.942000,2.9,0.0,1.5,-0.2,
233,111.941750,3.0,0.0,1.5,-0.3,
234,111.941500,3.0,0.0,1.6,-0.0,
235,111.941250,2.9,0.0,1.4,-0.0,
236,111.941000,2.7,0.0,1.0,0.3,
237,111.940750,3.0,0.0,1.4,0.1,
