Track Name,,Line name,1150114XYLDN1,Report Name,Wear_left,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
230,100.913500,8.7,1.3,7.5,1.0,
231,100.913250,8.7,1.4,7.7,1.1,
232,100.913000,8.7,1.3,7.6,1.0,
233,100.912750,8.8,1.4,7.7,1.0,
234,100.912500,8.7,1.3,7.6,0.9,
235,100.912250,8.6,1.1,7.5,0.8,
236,100.912000,8.7,1.2,7.5,0.9,
237,100.911750,8.6,1.2,7.5,0.9,
238,100.911500,8.3,0.9,7.1,0.7,
239,100.911250,8.4,1.3,7.3,1.0,
240,100.911000,8.4,1.5,7.4,1.1,
241,100.910750,8.3,1.1,7.1,0.8,
242,100.910500,8.5,1.3,7.4,1.0,
243,100.910250,8.5,1.3,7.3,1.0,
244,100.910000,8.4,1.0,7.2,0.8,
245,100.909750,8.4,1.2,7.3,0.9,
246,100.909500,8.5,1.4,7.4,1.0,
247,100.909250,8.1,0.9,6.9,0.6,
248,100.909000,8.3,1.3,7.2,1.0,
249,100.908750,8.3,1.4,7.3,1.0,
250,100.908500,8.3,1.2,7.2,0.8,
251,100.908250,8.4,1.4,7.4,1.0,
252,100.908000,8.3,1.4,7.3,1.0,
253,100.907750,8.2,1.1,7.0,0.8,
254,100.907500,8.4,1.3,7.3,1.1,
255,100.907250,8.3,1.5,7.3,1.1,
256,100.907000,8.2,1.2,7.2,0.9,
257,100.906750,8.1,1.3,7.1,1.0,
258,100.906500,8.1,1.5,7.2,1.0,
259,100.906250,8.1,1.3,7.1,0.9,
260,100.906000,8.1,1.4,7.2,1.1,
261,100.905750,8.0,1.5,7.1,1.1,
262,100.905500,8.0,1.2,7.0,0.9,
263,100.905250,8.1,1.4,7.2,1.0,
264,100.905000,8.1,1.4,7.1,1.0,
265,100.904750,8.1,1.2,7.1,0.8,
266,100.904500,8.2,1.4,7.2,1.0,
267,100.904250,8.1,1.3,7.2,0.9,
268,100.904000,8.2,1.3,7.2,0.9,
269,100.903750,8.2,1.3,7.2,0.9,
270,100.903500,8.4,1.4,7.4,0.9,
271,100.903250,8.6,1.0,7.4,0.6,
272,100.903000,8.9,1.0,7.8,0.7,
