Track Name,,Line name,1141219NKLDN1,Report Name,Wear_left,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
162,105.019500,8.8,0.1,7.9,0.1,
163,105.019250,8.9,0.0,7.9,-0.0,
164,105.019000,8.7,0.0,7.5,-0.2,
165,105.018750,8.5,0.0,7.4,-0.3,
166,105.018500,8.7,0.0,7.5,-0.3,
167,105.018250,8.7,0.0,7.6,-0.1,
168,105.018000,8.6,0.0,7.6,-0.1,
169,105.017750,8.6,0.0,7.6,-0.1,
170,105.017500,8.6,0.0,7.6,-0.3,
171,105.017250,8.8,0.0,7.7,-0.1,
172,105.017000,9.1,0.0,8.0,-0.0,
173,105.016750,8.9,0.0,7.9,-0.5,
174,105.016500,9.2,0.0,8.2,-0.1,
175,105.016250,9.5,0.0,8.5,-0.3,
176,105.016000,9.7,0.0,8.8,-0.1,
177,105.015750,10.3,0.5,9.6,0.4,
178,105.015500,10.3,0.2,9.4,0.1,
179,105.015250,9.9,0.0,9.1,-0.0,
180,105.015000,10.0,0.5,9.2,0.4,
181,105.014750,10.0,0.4,9.1,0.3,
182,105.014500,9.4,0.0,8.5,-0.3,
183,105.014250,9.4,0.3,8.6,0.3,
184,105.014000,9.4,0.1,8.6,0.1,
185,105.013750,9.4,0.3,8.5,0.2,
186,105.013500,9.2,0.3,8.3,0.2,
187,105.013250,9.3,0.3,8.3,0.2,
188,105.013000,9.1,0.1,8.2,-0.0,
189,105.012750,9.2,0.5,8.4,0.2,
190,105.012500,9.3,0.3,8.4,0.1,
191,105.012250,9.4,0.6,8.7,0.3,
192,105.012000,9.5,0.4,8.6,0.2,
193,105.011750,9.6,0.5,8.7,0.3,
194,105.011500,9.4,0.2,8.5,0.1,
195,105.011250,9.2,0.1,8.3,0.0,
196,105.011000,9.3,0.0,8.2,-0.1,
197,105.010750,9.2,0.0,8.1,-0.2,
198,105.010500,9.0,0.1,8.0,0.1,
199,105.010250,9.0,0.0,7.9,0.1,
200,105.010000,8.7,0.0,7.6,-0.2,
