Track Name,,Line name,1150114XYLDN,Report Name,Wear_left,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
400,101.700000,9.0,0.8,8.2,0.6,
401,101.699750,8.9,0.5,7.9,0.3,
402,101.699500,8.7,0.8,7.7,0.5,
403,101.699250,8.5,0.8,7.4,0.6,
404,101.699000,8.4,0.7,7.2,0.5,
405,101.698750,8.3,0.7,7.0,0.5,
406,101.698500,8.2,0.7,7.0,0.5,
407,101.698250,8.2,0.8,7.0,0.6,
408,101.698000,8.0,0.8,6.8,0.6,
409,101.697750,7.9,0.8,6.7,0.6,
410,101.697500,8.0,1.0,6.8,0.8,
411,101.697250,7.6,0.7,6.3,0.6,
412,101.697000,7.4,0.9,6.2,0.7,
413,101.696750,7.4,1.0,6.2,0.9,
414,101.696500,7.4,1.0,6.2,0.9,
415,101.696250,7.1,0.9,5.9,0.8,
416,101.696000,7.1,1.0,6.0,0.9,
417,101.695750,7.0,0.8,5.8,0.7,
418,101.695500,6.9,0.9,5.8,0.8,
419,101.695250,7.2,0.8,6.0,0.7,
420,101.695000,7.2,0.7,6.0,0.6,
421,101.694750,7.4,0.6,6.1,0.5,
422,101.694500,7.8,0.8,6.5,0.7,
423,101.694250,7.8,0.7,6.6,0.6,
424,101.694000,8.0,0.6,6.7,0.6,
425,101.693750,8.2,0.5,7.0,0.5,
426,101.693500,8.2,0.5,7.0,0.5,
427,101.693250,8.0,0.4,6.9,0.4,
428,101.693000,8.0,0.5,7.0,0.5,
429,101.692750,8.1,0.6,7.0,0.6,
430,101.692500,7.9,0.6,6.7,0.5,
431,101.692250,7.9,0.5,6.6,0.5,
432,101.692000,7.9,0.6,6.8,0.6,
433,101.691750,8.1,0.8,6.9,0.6,
434,101.691500,8.1,0.8,7.0,0.7,
435,101.691250,8.3,1.0,7.2,0.8,
436,101.691000,8.1,0.8,7.0,0.8,
437,101.690750,8.2,1.0,7.3,0.9,
438,101.690500,7.9,0.7,6.9,0.7,
439,101.690250,7.9,0.7,6.9,0.6,
440,101.690000,7.9,0.8,7.1,0.6,
441,101.689750,7.9,0.8,6.8,0.7,
442,101.689500,7.7,0.8,6.8,0.6,
443,101.689250,7.6,0.6,6.7,0.4,
444,101.689000,7.6,0.7,6.7,0.6,
445,101.688750,7.5,0.8,6.7,0.7,
446,101.688500,7.5,0.8,6.8,0.7,
447,101.688250,7.5,1.0,6.7,0.8,
448,101.688000,7.4,0.9,6.5,0.7,
449,101.687750,7.1,0.8,6.3,0.6,
450,101.687500,7.3,0.9,6.3,0.6,
451,101.687250,7.2,0.9,6.3,0.6,
452,101.687000,7.2,0.9,6.1,0.6,
453,101.686750,7.2,1.1,6.1,0.7,
454,101.686500,7.1,1.2,6.2,0.8,
455,101.686250,7.3,1.2,6.2,0.9,
